Title,DOI
"Reference soil samples (pH, soil texture, SOC, TC, TN, P, K, Mg) from the project ""pH-BB: Precision liming in Brandenburg"" - data set 1 (farm 1)",10.20387/bonares-b4h2-yd8t
"Reference soil samples (pH, soil texture, SOC, TC, TN, P, K, Mg) from the project ""pH-BB: Precision liming in Brandenburg"" - data set 2 (farm 2)",10.20387/bonares-3fqw-a46d
Long Term Experiment Rostock: Phosphorus fertilization strategies,10.20387/bonares-d8bq-gwt7
Meteorological data for the Graswang site in 2019 - 2023,10.20387/bonares-wt8h-wa93
Meteorological data for the Fendt site 2019 - 2023,10.20387/bonares-30em-ck12
Meteorological data for the Rottenbuch site 2019 - 2023,10.20387/bonares-e4yz-5884
Spatial and temporal seed predation data for four temperate alley-cropping agroforestry sites from 2023,10.20387/bonares-r7g2-nsv
Spatial and temporal aphid predation data for four temperate alley-cropping agroforestry sites from 2023,10.20387/bonares-6dw5-6x2m
"Soil Compaction, Deformation, and Changes in Soil Physical Parameters Caused by Digestate Application on a Loess-Luvisol in 2021",10.20387/bonares-1ttx-ng98
"Soil Compaction, Deformation, and Changes in Soil Physical Parameters Caused by sugar-beet harvest on a Loess-Luvisol in 2019",10.20387/bonares-cawx-y132
"Soil Compaction, Deformation, and Changes in Soil Physical Parameters Caused by Digestate Application on a Loess-Luvisol in 2019",10.20387/bonares-5bqk-c919
"Soil Compaction, Deformation, and Changes in Soil Physical Parameters Caused by Digestate Application on a Loess-Luvisol in 2017",10.20387/bonares-gfs6-w233
BonaRes LTE Data Schema,10.20387/bonares-jrhx-r965
Growth and plant response raw data from 6 apple genotypes cultivated on Apple Replant Disease affected soils from 6 different locations in Germany,10.20387/bonares-4a02-xc96
Catch crop nutrient uptake 1st crop rotation cycle,10.20387/bonares-5a14-b432
ORDIAmur Central Experiment 11 Growth Data,10.20387/bonares-jst2-ww4r
Effects of agricultural management on the quantity and quality of soil organic matter in 0-100 cm -  data from ten German long-term experiments.,10.20387/bonares-cyc0-aqjx
Loam/Sand fitted parameters,10.20387/bonares-1yhh-07w1
Long term effect of liming and P fertilizer application on yield and P uptake of spring wheat determined in 2015,10.20387/bonares-3d68-pdad
50 years box plot experiment in Grossbeeren (1972 - 2022) - Plots,10.20387/bonares-fd75-nca9
Impact of different catch crops on microbial Phosphorus mobilization and availability on maize,10.20387/bonares-csxs-rr1f
Westerfeld: Long-term field trial on tillage and fertilization in crop rotation,10.20387/bonares-w669-gdsd
"Impact of different maize varieties on mycorrhizal formation, microbial Phosphorus mobilization and availability on maize on a long-term field experiment in Rostock",10.20387/bonares-43xt-vjpb
Spatial and temporal spider abundance and emergence data for five temperate alley-cropping agroforestry sites from 2022,10.20387/bonares-rbw7-raj0
Spatial and temporal spider activity abundance data for five temperate alley-cropping agroforestry sites from 2022,10.20387/bonares-g495-846q
Soil texture spatial rasters | Agricultural Soil-landscape of Germany,10.20387/bonares-ss02-6dys
Soil data I4S Booßen experiment 2020-2021,10.20387/bonares-dm5f-11ve
Crop/plant data I4S Booßen experiment 2020-2021,10.20387/bonares-2xtr-fk1s
Grain Yield data UKiel V140 INPLAMINT,10.20387/bonares-7zwh-fkv8
Meta-analysis: Drivers of soil health across EU,10.20387/zalf-a15w-f1kh
"Impact of different maize varieties on mycorrhizal formation, microbial Phosphorus mobilization and availability on maize on a long-term field experiment in Rostock",10.20387/bonares-hyc1-pdgq
How does the root architecture of wheat influence the microbial community and activity in soil? – β-Glucosidase gradient from the root center towards the surrounding soil.,10.20387/bonares-80c6-ppnj
Root traits and biophysicochemical rhizosheath soil properties of 38 maize varieties under drought and well-watered conditions,10.20387/bonares-9fa5-72a2
Climatic compound events in Bavarian counties between 1981 and 2021 during the development phases of maize and winter wheat,10.20387/bonares-wnkm-8dnm
Cover crops improve soil structure and change OC distribution in aggregate fractions,10.20387/bonares-zyd4-w9c2
Gentsch et al.:Soil nitrogen and water management by winter-killed catch crops. Open data and R scripts.,10.20387/bonares-bnjn-c6eg
"Meteorological data, soil temperature and soil water content for Forst (Lusatia) Agroforestry from 2016 to 2017",10.20387/bonares-eq1y-kwks
"Meteorological data, soil temperature and soil water content for Mariensee Agroforestry from 2016 to 2017",10.20387/bonares-rx5g-ze5v
"Meteorological data, soil temperature and soil water content for Forst Conventional from 2016 to 2017",10.20387/bonares-wd8h-p65h
"BonaRes SIGNAL, Site: Dornburg, plant nitrogen (N) availability, N response efficiency and plant N uptake",10.20387/bonares-95xc-301c
"Meteorological data, soil temperature and soil water content for Dornburg Agroforestry from 2016 to 2017",10.20387/bonares-hxsn-cxxc
"Meteorological data, soil temperature and soil water content for Dornburg Agroforestry from 2016 to 2017",10.20387/bonares-4mvd-b87
"Meteorological data, soil temperature and soil water content for Dornburg Conventional from 2016 to 2017",10.20387/bonares-93j8-s7jf
"Meteorological data, soil temperature and soil water content for Dornburg Conventional from 2016 to 2017",10.20387/bonares-ppxj-nfb6
"Meteorological data, soil temperature and soil water content for Reiffenhausen Conventional from 2016 to 2017",10.20387/bonares-59wa-sx8g
"Meteorological data, soil temperature and soil water content for Mariensee Conventional from 2016 to 2017",10.20387/bonares-a4ak-4e98
"Meteorological data, soil temperature and soil water content for Reiffenhausen Agroforestry from 2016 to 2017",10.20387/bonares-d95k-4yxa
